측정소코드,date,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소,Latitude,Longitude
221221,11/2/2019,2019110213,0.002416667,0.6,0.021166667,0.029083333,55.79166667,21.66666667,부산 연제구 중앙대로 1001,35.179665,129.0747635
221231,11/2/2019,2019110213,0.004125,0.358333333,0.03,0.02,44.625,16.41666667,부산 기장군 기장읍 읍내로 69,35.2460563,129.2118283
221233,11/2/2019,2019110213,0.003083333,0.341666667,0.026833333,0.015041667,46.75,23.54166667,부산 기장군 정관읍 용수로 4,35.3255581,129.1801399
221241,11/2/2019,2019110213,0.00475,0.308333333,0.034791667,0.014958333,46.16666667,18.41666667,부산 동구 구청로 1,35.129335,129.0454233
221251,11/2/2019,2019110213,0.002458333,0.408333333,0.024125,0.020875,52.58333333,22.25,부산 금정구 부곡로156번길 7,35.2298391,129.0927136
221271,11/2/2019,2019110213,,,0.026166667,0.025625,55.95833333,23.83333333,부산 수영구 광안로21번가길 57,35.1571776,129.1181495
221281,11/2/2019,2019110213,0.004208333,0.395833333,0.031375,0.0165,55.58333333,19.875,부산 서구 대신로 150,35.1173229,129.0156411
221282,11/2/2019,2019110213,0.003166667,0.445833333,0.020875,0.027541667,58.33333333,29.04166667,부산 사상구 삼덕로 83,35.1737836,128.9860524
221283,11/2/2019,2019110213,0.004625,0.558333333,0.019458333,0.039125,55.375,24.29166667,부산 부산진구 개금온정로17번길 51,35.1552024,129.0226849
221284,11/2/2019,2019110213,0.002041667,0.516666667,0.028916667,0.026541667,48.625,22.5,부산 사하구 제석로 41,35.1055492,128.9731784
221901,11/2/2019,2019110213,0.005625,0.416666667,0.024666667,0.03275,49.95833333,20.875,부산 동구 충장대로 314,35.1252547,129.0568122
221902,11/2/2019,2019110213,0.004625,0.370833333,0.032791667,0.035875,57.95833333,26.33333333,부산 강서구 신항남로 416,35.2122157,128.9805666
238111,11/2/2019,2019110213,0.002791667,0.370833333,0.024666667,0.030333333,82.04166667,32.08333333,경남 창원시 마산회원구 회원동 11번길 7,35.2256269,128.5735191
238112,11/2/2019,2019110213,0.002583333,0.316666667,0.026291667,0.021416667,69.54166667,29.04166667,경남 창원시 마산회원구 봉암로 148,35.2177911,128.6023239
238120,11/2/2019,2019110213,0.002958333,0.545833333,0.040166667,0.013916667,39.375,11.70833333,울산 동구 대송5길 10,35.5031652,129.4183606
238121,11/2/2019,2019110213,0.002791667,0.441666667,0.024166667,0.024208333,51.33333333,22.83333333,울산 중구 새즈믄해거리 28,35.5564272,129.3206864
238122,11/2/2019,2019110213,0.006125,0.858333333,0.02275,0.02625,62.33333333,27.95833333,울산 남구 처용로 260-37,35.4965858,129.3397429
238123,11/2/2019,2019110213,0.0145,0.470833333,0.021208333,0.029,59.29166667,22.70833333,울산 남구 부두로 9,35.5156009,129.3671103
238124,11/2/2019,2019110213,,0.67,0.0209,0.0225,40.1,16.77777778,울산 남구 대암로 90번길 27,35.5286805,129.3260344
238125,11/2/2019,2019110213,0.006375,0.616666667,0.025875,0.025416667,54.20833333,22.04166667,울산 남구 삼산중로 131번길 36,35.5444376,129.3319576
238126,11/2/2019,2019110213,0.003125,0.7,0.019416667,0.023291667,46.5,23.75,울산 남구 신정2동(문수로),35.5355601,129.2857706
238127,11/2/2019,2019110213,0.00325,0.6125,0.026958333,0.024083333,45.91666667,20.375,울산 남구 봉월로 20번길 9,35.5346671,129.3078652
238128,11/2/2019,2019110213,0.006083333,0.516666667,0.021208333,0.023791667,50.625,22.79166667,울산 울주군 온산읍 명봉거남로 2,35.4346936,129.3144896
238129,11/2/2019,2019110213,0.003958333,0.554166667,0.016875,0.030041667,49.91666667,25.125,울산 남구 대학로 147번길 38,35.5509531,129.2606969
238130,11/2/2019,2019110213,0.002458333,0.345833333,0.019,0.026833333,56.95833333,23.33333333,울산 북구 염포로 290,35.5603091,129.3708991
238131,11/2/2019,2019110213,0.003125,0.6125,0.021541667,0.021208333,70.08333333,28.375,경남 진주시 비봉로 85번길 12,35.1982785,128.0780667
238132,11/2/2019,2019110213,0.002,0.641666667,0.016791667,0.011708333,65.5,16.79166667,경남 진주시 진주대로 1052,35.1935291,128.0845311
238133,11/2/2019,2019110213,0.00275,0.658333333,0.020291667,0.022916667,74.5,24.25,경남 진주시 동진로 279,35.1808639,128.1224577
238141,11/2/2019,2019110213,0.003375,0.6375,0.029083333,0.024666667,78.20833333,31.625,경남 창원시 의창구 우곡로 101번길 85센터),35.243391,128.641757
238142,11/2/2019,2019110213,0.004375,0.683333333,0.023125,0.030916667,89.33333333,31.04166667,경남 창원시 성산구 공단로 303,35.2115193,128.6574869
238143,11/2/2019,2019110213,0.003333333,0.675,0.01725,0.035333333,72.70833333,36.70833333,경남 창원시 성산구 외리로14번길 18,35.1995148,128.7108062
